periodo,datetime,CO2_ppm,AQI,CO_ppm,SO2_ppm,O3_ppm,NO2_ppm,PM2_5_ugm3,temp_C,hum_pct,Bat_pct
P1,2025-11-09 01:30:16,-0.42793302234301966,1,-0.3924375439979075,-0.5305220751563003,-0.02196591933823112,0.024131134484546207,-0.18867422612421547,0.2973421926910299,0.7235984354628422,0.9385964912280701
P1,2025-11-09 01:31:18,-0.41434716077577294,1,-0.3939821804453836,-0.5305220751563003,0.11470793795469554,0.07098262844456099,-0.18867422612421547,0.2956810631229236,0.7235984354628422,0.9398496240601503
P1,2025-11-09 01:32:19,-0.40109132013728527,1,-0.3939821804453836,-0.5305220751563003,0.06914998552372004,0.21153711032460537,-0.18867422612421547,0.2956810631229236,0.7235984354628422,0.9398496240601503
P1,2025-11-09 01:33:20,-0.41811489971243854,1,-0.3939821804453836,-0.5305220751563003,0.06914998552372004,0.16468561636459056,-0.25191864421646853,0.2956810631229236,0.7235984354628422,0.9398496240601503
P1,2025-11-09 01:34:21,-0.42296895753960256,1,-0.3955268168928594,-0.5616047759223458,0.02359203309274438,0.11783412240457579,-0.18867422612421547,0.2956810631229236,0.7235984354628422,0.9398496240601503
P1,2025-11-09 01:35:23,-0.43795740805407524,1,-0.3955268168928594,-0.5616047759223458,0.02359203309274438,0.11783412240457579,-0.31516306230872154,0.2956810631229236,0.7249022164276402,0.9398496240601503
P1,2025-11-09 01:36:25,-0.42455030782323966,1,-0.3970714533403354,-0.5616047759223458,-0.02196591933823112,0.024131134484546207,-0.31516306230872154,0.2956810631229236,0.7249022164276402,0.9398496240601503
P1,2025-11-09 01:37:26,-0.4392774917691113,1,-0.3962991351165974,-0.5616047759223458,0.02359203309274438,0.11783412240457579,-0.31516306230872154,0.2956810631229236,0.7249022164276402,0.9398496240601503
P1,2025-11-09 01:38:28,-0.41473218519265853,1,-0.3986160897878114,-0.5616047759223458,-0.02196591933823112,0.07098262844456099,-0.25191864421646853,0.2956810631229236,0.7249022164276402,0.9398496240601503
P1,2025-11-09 01:39:28,-0.4164372933245801,1,-0.3986160897878114,-0.5616047759223458,-0.06752387176920663,0.07098262844456099,-0.25191864421646853,0.2956810631229236,0.7249022164276402,0.9385964912280701
P1,2025-11-09 01:40:28,-0.413315845373401,1,-0.3986160897878114,-0.5616047759223458,-0.02196591933823112,0.07098262844456099,-0.31516306230872154,0.2956810631229236,0.7249022164276402,0.9398496240601503
P1,2025-11-09 01:41:30,-0.40968561515705165,1,-0.3970714533403354,-0.5616047759223458,0.02359203309274438,0.11783412240457579,-0.37840748040097455,0.2956810631229236,0.7249022164276402,0.9385964912280701
P1,2025-11-09 01:42:31,-0.43127448424670484,1,-0.3955268168928594,-0.5616047759223458,0.02359203309274438,0.16468561636459056,-0.4416518984932276,0.2956810631229236,0.7262059973924381,0.9398496240601503
P1,2025-11-09 01:43:32,-0.41367336804622323,1,-0.3970714533403354,-0.5616047759223458,-0.02196591933823112,0.11783412240457579,-0.31516306230872154,0.2956810631229236,0.7249022164276402,0.9398496240601503
P1,2025-11-09 01:44:33,-0.40407525936814814,1,-0.3970714533403354,-0.5616047759223458,0.02359203309274438,0.11783412240457579,-0.37840748040097455,0.2956810631229236,0.7262059973924381,0.9385964912280701
P1,2025-11-09 01:45:34,-0.41221577561087086,1,-0.3970714533403354,-0.5616047759223458,-0.02196591933823112,0.11783412240457579,-0.37840748040097455,0.2956810631229236,0.7262059973924381,0.9385964912280701
P1,2025-11-09 01:46:36,-0.4252791040409158,1,-0.3955268168928594,-0.5616047759223458,-0.06752387176920663,0.07098262844456099,-0.4416518984932276,0.2956810631229236,0.7249022164276402,0.9385964912280701
P1,2025-11-09 01:47:36,-0.41165198985757423,1,-0.3986160897878114,-0.5616047759223458,0.06914998552372004,0.07098262844456099,-0.31516306230872154,0.2940199335548173,0.7249022164276402,0.9385964912280701
P1,2025-11-09 01:48:37,-0.4180873979683753,1,-0.3986160897878114,-0.5616047759223458,-0.06752387176920663,0.11783412240457579,-0.37840748040097455,0.2940199335548173,0.727509778357236,0.9385964912280701
P1,2025-11-09 01:49:38,-0.3994412154934901,1,-0.3986160897878114,-0.5616047759223458,-0.02196591933823112,0.16468561636459056,-0.37840748040097455,0.2940199335548173,0.7249022164276402,0.9385964912280701
P1,2025-11-09 01:50:40,-0.4326908240659624,1,-0.3986160897878114,-0.5616047759223458,-0.06752387176920663,0.07098262844456099,-0.4416518984932276,0.2940199335548173,0.7249022164276402,0.9385964912280701
P1,2025-11-09 01:51:41,-0.4336946377242711,1,-0.39938840801154935,-0.5616047759223458,-0.11308182420018227,0.024131134484546207,-0.4416518984932276,0.2940199335548173,0.7249022164276402,0.9385964912280701
P1,2025-11-09 01:52:42,-0.4221989087058315,1,-0.39938840801154935,-0.5616047759223458,0.06914998552372004,0.07098262844456099,-0.37840748040097455,0.2940199335548173,0.7249022164276402,0.9385964912280701
P1,2025-11-09 01:53:44,-0.4262554159551613,1,-0.3962991351165974,-0.5616047759223458,0.02359203309274438,0.024131134484546207,-0.37840748040097455,0.292358803986711,0.7262059973924381,0.9385964912280701
P1,2025-11-09 01:54:46,-0.4158047532111253,1,-0.3986160897878114,-0.5616047759223458,0.02359203309274438,0.024131134484546207,-0.37840748040097455,0.292358803986711,0.7262059973924381,0.93734335839599
P1,2025-11-09 01:55:47,-0.40939684684438754,1,-0.3939821804453836,-0.5616047759223458,0.02359203309274438,0.024131134484546207,-0.37840748040097455,0.292358803986711,0.7262059973924381,0.93734335839599
P1,2025-11-09 01:56:49,-0.42373900637337364,1,-0.39320986222164545,-0.5616047759223458,-0.02196591933823112,0.024131134484546207,-0.37840748040097455,0.292358803986711,0.7249022164276402,0.9385964912280701
P1,2025-11-09 01:57:50,-0.3978323634657898,1,-0.38934827110295567,-0.5926874766883913,-0.06752387176920663,-0.022720359475468584,-0.37840748040097455,0.2906976744186046,0.7235984354628422,0.9385964912280701
P1,2025-11-09 01:58:50,-0.41810114884040694,1,-0.3901205893266935,-0.5616047759223458,-0.02196591933823112,-0.022720359475468584,-0.37840748040097455,0.2906976744186046,0.7222946544980443,0.9385964912280701
P1,2025-11-09 01:59:51,-0.4451353632545841,1,-0.38625899820800375,-0.5926874766883913,-0.02196591933823112,0.024131134484546207,-0.37840748040097455,0.2906976744186046,0.7235984354628422,0.9385964912280701
P1,2025-11-09 02:00:53,-0.42772675926254533,1,-0.3870313164317417,-0.5616047759223458,-0.02196591933823112,-0.022720359475468584,-0.4416518984932276,0.28903654485049834,0.7209908735332463,0.9385964912280701
